Source,Target,Weight
Ermenrich,Heime,9
Dietrich,Heime,21
Dietrich,Ermenrich,10
Heime,Witege,63
Alphart,Witege,29
Alphart,Heime,17
Sebich,Witege,7
Dietrich,Witege,3
Heime,Sebich,6
Dietrich,Sebich,1
Hildebrand,Witege,1
Amelot,Heime,7
Heime,Nere,4
Amelot,Nere,4
Amelot,Dietrich,1
Dietrich,Nere,1
Heime,Hildebrand,1
Ermenrich,Sebich,7
Bange,Hildebrand,1
Hildebrand,Rotwin,1
Berchter,Hildebrand,1
Bange,Rotwin,1
Bange,Berchter,1
Bange,Rychart,1
Bange,Gerhart,1
Bange,Helffrych,1
Bange,Helmschrot,1
Berchter,Rotwin,1
Rotwin,Rychart,1
Gerhart,Rotwin,1
Helffrych,Rotwin,1
Helmschrot,Rotwin,1
Berchter,Rychart,1
Berchter,Gerhart,1
Berchter,Helffrych,1
Berchter,Helmschrot,1
Gerhart,Rychart,1
Helffrych,Rychart,1
Helmschrot,Rychart,2
Echhart,Rychart,1
Hunbrecht,Rychart,1
Hartung,Rychart,1
Bottel,Rychart,1
Gerhart,Helffrych,1
Gerhart,Helmschrot,2
Echhart,Gerhart,1
Gerhart,Hunbrecht,1
Gerhart,Hartung,1
Bottel,Gerhart,1
Gerhart,Hannolt,1
Helffrych,Helmschrot,2
Echhart,Helffrych,1
Helffrych,Hunbrecht,1
Hartung,Helffrych,1
Bottel,Helffrych,1
Hannolt,Helffrych,1
Echhart,Helmschrot,2
Helmschrot,Hunbrecht,2
Hartung,Helmschrot,2
Bottel,Helmschrot,2
Hannolt,Helmschrot,2
Bramker,Helmschrot,2
Echhart,Hunbrecht,1
Echhart,Hartung,1
Bottel,Echhart,1
Echhart,Hannolt,1
Bramker,Echhart,1
Amelger,Echhart,1
Echhart,Wolfhart,1
Hartung,Hunbrecht,1
Bottel,Hunbrecht,1
Hannolt,Hunbrecht,1
Bramker,Hunbrecht,1
Amelger,Hunbrecht,1
Hunbrecht,Wolfhart,1
Bottel,Hartung,1
Hannolt,Hartung,1
Bramker,Hartung,1
Amelger,Hartung,1
Hartung,Wolfhart,1
Amelger,Helmschrot,1
Helmschrot,Wolfhart,1
Bottel,Hannolt,1
Bottel,Bramker,1
Amelger,Bottel,1
Bottel,Wolfhart,1
Bramker,Hannolt,1
Amelger,Hannolt,1
Hannolt,Wolfhart,1
Amelger,Bramker,1
Bramker,Wolfhart,1
Amelger,Wolfhart,1
Amelger,Dietrich,1
Dietrich,Wolfhart,1
Dietrich,Friderich,1
Friderich,Wicker,1
Friderich,Walderich,1
Friderich,Sigebant,1
Alphart,Friderich,1
Friderich,Siegestab,1
Friderich,Hildebrand,1
Walderich,Wicker,1
Sigebant,Wicker,1
Alphart,Wicker,1
Siegestab,Wicker,1
Hildebrand,Wicker,1
Sigebant,Walderich,2
Alphart,Walderich,1
Siegestab,Walderich,1
Hildebrand,Walderich,1
Amelot,Walderich,1
Alphart,Sigebant,1
Siegestab,Sigebant,1
Hildebrand,Sigebant,1
Amelot,Sigebant,1
Nere,Sigebant,1
Alphart,Siegestab,1
Alphart,Hildebrand,7
Alphart,Amelot,1
Alphart,Nere,1
Alphart,Walther,1
Hildebrand,Siegestab,1
Amelot,Siegestab,1
Nere,Siegestab,1
Siegestab,Walther,1
Amelot,Hildebrand,1
Hildebrand,Nere,2
Hildebrand,Walther,7
Helmnot,Hildebrand,1
Amelot,Walther,1
Amelot,Helmnot,1
Nere,Walther,1
Helmnot,Nere,1
Helmnot,Walther,1
Schiltbrant,Sygher,1
Alphart,Dietrich,5
Alphart,Wolfhart,6
Alphart,Ute,3
Alphart,Crist,4
Alphart,Amelgart,1
Crist,Hildebrand,1
Alphart,Ermenrich,3
Alphart,Sygwin,3
Ute,Witege,1
Hildebrand,Wolfhart,15
Randolt,Reinholt,1
Berhtram,Randolt,1
Randolt,Witege,1
Berhtram,Witege,1
Berhtram,Heime,1
Adelger,Heime,1
Adelger,Dietrich,1
Adelger,Witege,1
Hildebrand,Nitger,5
Hildebrand,Hug,8
Nitger,Walther,2
Hug,Nitger,2
Hug,Walther,8
Eckehart,Hug,4
Eckehart,Nitger,4
Eckehart,Hildebrand,3
Alphart,Eckehart,3
Eckehart,Ermenrich,3
Dietrich,Eckehart,1
Crist,Nitger,1
Hildebrand,Studenfuß,4
Dietrich,Hildebrand,4
Hildebrand,Ylsam,5
Walther,Ylsam,5
Eckehart,Walther,3
Eckehart,Ylsam,2
Hug,Ylsam,5
Ermenrich,Hildebrand,2
Gere,Studenfuß,3
Eckehart,Studenfuß,4
Eckehart,Gere,1
Dietrich,Ylsam,1
Dietrich,Studenfuß,1
Wolfhart,Ylsam,1
Alphart,Ylsam,2
Eckehart,Sebich,5
Ermenrich,Studenfuß,1
Sebich,Studenfuß,1
Sebich,Sigebant,1
Witege,Ylsam,1
Ermenrich,Witege,4
Hache,Hildebrand,1
Berhtram,Hildebrand,2
Alphart,Berhtram,1
Alphart,Sewart,1
Berhtram,Sewart,1
Berhtram,Wolfhart,4
Sewart,Wolfhart,1
Eckehart,Wolfhart,1
Eckehart,Witege,1
Eckehart,Heime,1
Siegestab,Witege,2
Heime,Siegestab,1
Reinholt,Witege,2
Heime,Reinholt,2
Reinholt,Sebich,2
Ermenrich,Reinholt,2
